OBJECTID,AllBridges_2016April_BDEPT,AllBridges_2016April_BIN,AllBridges_2016April_Health_Index,AllBridges_2016April_Item_6A,AllBridges_2016April_Item_7,AllBridges_2016April_Item_8,AllBridges_2016April_Item_8_Bridge_Cat,AllBridges_2016April_Item_8_Owner,AllBridges_2016April_Item_16A,AllBridges_2016April_Item_16B,AllBridges_2016April_Item_16C,AllBridges_2016April_Item_17A,AllBridges_2016April_Item_17B,AllBridges_2016April_Item_17C,AllBridges_2016April_Item_26,AllBridges_2016April_Item_28A,AllBridges_2016April_Item_29,AllBridges_2016April_Item_49,AllBridges_2016April_Item_51,AllBridges_2016April_Item_52,AllBridges_2016April_Item_58,AllBridges_2016April_Item_104,AllBridges_2016April_Posting_2_Axle,AllBridges_2016April_Posting_3_Axle,AllBridges_2016April_Posting_5_Axle,AllBridges_2016April_Struct_Def,AllBridges_2016April_Town_Name
2507,N12048,2EG,0.335,HWY   QUINOBEQUIN RD,ST  9 BOYLSTON ST,N120482EGDOTNBI,NBI,DOT,42,19,1.1531,71,13,36.8687,14,4,57200,18,16.5,17.7,N,TRUE,0,0,0,FALSE,Newton
2508,N12005,2EH,0.6647,WATER HEMLOCK GORGE,ST  9 BOYLSTON ST,N120052EHDOTNBI,NBI,DOT,42,19,0.6275,71,13,40.9619,14,6,86400,7,30.2,56.6,N,TRUE,0,0,0,FALSE,Newton
2509,W13016,2EJ,0.9707,HWY   CLIFF RD,ST  9 WORCESTER ST,W130162EJDOTNBI,NBI,DOT,42,18,42.9624,71,16,37.4735,14,4,54000,15.2,17.4,23.8,N,TRUE,0,0,0,FALSE,Wellesley
2510,W13013,2EK,0.6357,HWY   WESTON RD,ST  9 WORCESTER ST,W130132EKDOTNBI,NBI,DOT,42,18,19.3464,71,18,45.8892,16,4,70440,15.2,18.9,28.9,N,TRUE,0,0,0,FALSE,Wellesley
2514,B29007,2EP,0.9371,HWY   MIDDLESEX TPK,I  95 NB/ST128 NB,B290072EPDOTNBI,NBI,DOT,42,28,39.93,71,12,54.29,12,6,91300,49.2,26.8,29.9,4,TRUE,0,0,0,TRUE,Burlington
2515,B29007,2EQ,0.9353,HWY   MIDDLESEX TPK,I  95 SB/ST128 SB,B290072EQDOTNBI,NBI,DOT,42,28,40.74,71,12,54.79,11,6,91000,49.2,26.8,29.9,4,TRUE,0,0,0,TRUE,Burlington
2516,B29009,2ER,0.5582,HWY   S BEDFORD ST,I  95 NB/ST128 NB,B290092ERDOTNBI,NBI,DOT,42,29,6.75,71,11,46.25,11,4,159900,40.5,17.7,20.9,5,TRUE,0,0,0,FALSE,Burlington
2517,B29009,2ET,0.653,HWY   S BEDFORD ST,I  95 SB/ST128 SB,B290092ETDOTNBI,NBI,DOT,42,29,7.5,71,11,47,11,4,159900,40.5,18.3,21.5,5,TRUE,0,0,0,FALSE,Burlington
2518,B29010,2EU,0.5927,ST  3 A/CAMBRIDGE ST,I  95 NB/ST128 NB,B290102EUDOTNBI,NBI,DOT,42,29,18.75,71,11,29.5,11,4,159900,62.5,18.3,22.6,5,TRUE,0,0,0,TRUE,Burlington
2519,B29010,2EV,0.7178,ST  3 A/CAMBRIDGE ST,I  95 SB/ST128 SB,B290102EVDOTNBI,NBI,DOT,42,29,19.5,71,11,30.2,12,4,86169,62.5,18.3,22.6,5,TRUE,0,0,0,TRUE,Burlington
