"bridgeId","healthIndex","year","structDef","town"
"3QK","0.8902","2007","FALSE","Foxborough"
"3QL","0.9553","2007","FALSE","Foxborough"
"3QM","0.6514","2007","FALSE","Foxborough"
"3QN","0.6514","2007","FALSE","Foxborough"
"3QP","0.9851","2007","FALSE","Foxborough"
"3QQ","0.9555","2007","FALSE","Foxborough"
"3QR","0.9641","2007","FALSE","Foxborough"
"3QT","0.988","2007","FALSE","Foxborough"
"3QU","0.9805","2007","FALSE","Foxborough"
"3QV","0.9822","2007","FALSE","Foxborough"
"3QW","0.9627","2007","FALSE","Foxborough"
"3QX","0.9412","2007","FALSE","Foxborough"
"3R1","0.8428","2007","FALSE","Norwood"
"3R2","0.8641","2007","FALSE","Norwood"
"3R3","0.798","2007","FALSE","Norwood"
"3R4","0.7974","2007","FALSE","Norwood"
"3R7","0.6823","2007","FALSE","Sharon"
"3R8","0.7421","2007","FALSE","Sharon"
"3R9","0.7444","2007","FALSE","Sharon"
"3RA","0.608","2007","FALSE","Foxborough"
"3RB","0.6404","2007","FALSE","Foxborough"
"3RX","0.9893","2007","FALSE","Wrentham"
"3RY","0.801","2007","FALSE","Wrentham"
"3T0","0.9695","2007","FALSE","Wrentham"
"3T1","0.9241","2007","FALSE","Wrentham"
"3VP","0.990100111","2007","FALSE","Sharon"
"3VQ","0.7977","2007","FALSE","Sharon"
"3VV","1","2007","FALSE","Norwood"
"3VW","1","2007","FALSE","Norwood"
"3WL","0.9906","2007","FALSE","Walpole"
"40R","0.6795","2007","FALSE","Sharon"
"40X","0.7299","2007","FALSE","Walpole"
"46Q","0.9995","2007","FALSE","Hanover"
"47H","1","2007","FALSE","Marshfield"
"47J","0.8262","2007","FALSE","Marshfield"
"47K","0.9571","2007","FALSE","Hingham"
"47L","1","2007","FALSE","Hingham"
"48H","0.9426","2007","FALSE","Duxbury"
"48J","0.943","2007","TRUE","Duxbury"
"48K","0.8304","2007","TRUE","Hanover"
"48L","0.9833","2007","FALSE","Hanover"
"48U","0.8918","2007","FALSE","Norwell"
"48V","0.8858","2007","FALSE","Norwell"
"48W","0.885","2007","TRUE","Norwell"
"48X","0.9033","2007","FALSE","Norwell"
"48Y","0.9594","2007","FALSE","Pembroke"
"490","0.9357","2007","FALSE","Pembroke"
"49F","0.8114","2007","TRUE","Rockland"
"49G","0.807","2007","TRUE","Rockland"
"4DB","0.5515","2007","FALSE","Revere"
"4DC","0.5639","2007","TRUE","Revere"
"4DD","0.8438","2007","FALSE","Revere"
"4DF","0.5629","2007","TRUE","Cambridge"
"4DG","0.9939","2007","FALSE","Cambridge"
"4DH","0.9652","2007","FALSE","Cambridge"
"4DJ","0.7238","2007","FALSE","Cambridge"
"4DK","0.5818","2007","FALSE","Cambridge"
"4DL","0.7879","2007","FALSE","Cambridge"
"4DM","0.696800908","2007","FALSE","Cambridge"
"4DN","0.9334","2007","FALSE","Cambridge"
"4DP","0.9226","2007","FALSE","Cambridge"
"4DQ","0.9303","2007","FALSE","Cambridge"
"4DR","0.9192","2007","FALSE","Cambridge"
"4DT","0.7552","2007","FALSE","Medford"
"4DU","0.6701","2007","TRUE","Medford"
"4DW","0.5083","2007","FALSE","Medford"
"4DX","0.8592","2007","FALSE","Medford"
"4DY","0.9705","2007","FALSE","Medford"
"4.00E+02","0.0533","2007","FALSE","Somerville"
"4.00E+03","0.7713","2007","FALSE","Somerville"
"4.00E+04","0.538","2007","TRUE","Somerville"
"4.00E+05","0.5649","2007","FALSE","Somerville"
"4.00E+06","0.634299571","2007","FALSE","Somerville"
"4.00E+07","0.9472","2007","FALSE","Everett"
"4.00E+08","0.9848","2007","FALSE","Everett"
"4.00E+09","0.6997","2007","FALSE","Everett"
"4EA","0.6324","2007","FALSE","Everett"
"4EB","0.5766","2007","FALSE","Everett"
"4ED","0.7128","2007","FALSE","Boston"
"4EE","0.6579","2007","TRUE","Boston"
"4EG","0.6814","2007","TRUE","Boston"
"4EH","0.642900919","2007","FALSE","Boston"
"4EK","0.6094","2007","FALSE","Boston"
"4EL","0.4963","2007","FALSE","Boston"
"4EM","0.3412","2007","TRUE","Boston"
"4ET","0.3728","2007","TRUE","Boston"
"4EU","-1","2007","FALSE","Boston"
"4EV","0.8615","2007","FALSE","Boston"
"4EX","0.6811","2007","FALSE","Boston"
"4EY","0.9699","2007","FALSE","Boston"
"4F0","0.5148","2007","TRUE","Boston"
"4F2","0.401","2007","FALSE","Boston"
"4F4","0.7453","2007","FALSE","Boston"
"4F5","0.8892","2007","TRUE","Boston"
"4F7","0.8472","2007","TRUE","Boston"
"4FA","0.9212","2007","FALSE","Boston"
"4FC","0.438","2007","FALSE","Boston"
"4FD","0.6625","2007","FALSE","Boston"
"4FE","0.5864","2007","FALSE","Boston"
"4FF","0.7082","2007","FALSE","Boston"
